City (User location),Leads,Purhchases,Qualified Lead_All conv.,Unqualified Lead_All conv.,Cost,Purchase Value,CPL,CPA,leads 2 purchase,
Ankleshwar,1,0,0,0,570.21,0,570.21,,0.00%,
Araria,1,0,0,0,481.57,0,481.57,,0.00%,
Auraiya,2,0,2,0,603.45,0,301.725,,0.00%,
Aurangabad,8,0,3,1,4210.47,0,526.30875,,0.00%,
Bahraich,1,0,0,0,380.69,0,380.69,,0.00%,
Balangir,1,0,0,1,100.2,0,100.2,,0.00%,
Balasore,1,0,0,0,340.79,0,340.79,,0.00%,
Ballari,5,0,0,0,1007.4,0,201.48,,0.00%,
Bangaon,1,0,0,0,141.67,0,141.67,,0.00%,
Bankura,4,0,2,1,467.24,0,116.81,,0.00%,
Barabanki,1,0,0,0,193.7,0,193.7,,0.00%,
Bareilly,7,0,0,2,2083.25,0,297.607142857143,,0.00%,
Barmer,1,0,0,1,379.08,0,379.08,,0.00%,
Barnala,1,0,0,0,422.3,0,422.3,,0.00%,
Basti,3,0,0,0,272.44,0,90.8133333333333,,0.00%,
Batala,1,0,0,0,34.01,0,34.01,,0.00%,
Bathinda,4,0,0,1,1024.43,0,256.1075,,0.00%,
Bavla,1,0,0,1,197.61,0,197.61,,0.00%,
Begusarai,2,0,0,1,749.88,0,374.94,,0.00%,
Belagavi,1,0,0,0,2214.9,0,2214.9,,0.00%,
Betul,1,0,1,0,594.83,0,594.83,,0.00%,
Bhadrak,1,0,0,1,158.98,0,158.98,,0.00%,
Bhandara,1,0,0,0,358.73,0,358.73,,0.00%,
Bharatpur,2,0,1,0,157.68,0,78.84,,0.00%,
Bharuch,2,0,0,0,1713.28,0,856.64,,0.00%,
Bhavnagar,2,0,0,0,1188.62,0,594.31,,0.00%,
Bhilwara,2,0,0,0,565.33,0,282.665,,0.00%,
Bhiwandi,4,0,0,1,2318.14,0,579.535,,0.00%,
Bhogpur,1,0,1,0,22.14,0,22.14,,0.00%,
